seed,model_tag,mode,factor,n_coords,ci_level,lower_q,upper_q,within_count,coverage_pct,quad_error,mse,rmse,eval_version,method
4,gp,2,2,25,80.0,10.0,90.0,20,80.0,0.0194396063196159,0.0098858648753344,0.0994276866638989,lambda_projected_optimum,blf_gp
4,gp,2,3,25,80.0,10.0,90.0,19,76.0,0.0374007675361355,0.0197726056971596,0.1406150976857025,lambda_projected_optimum,blf_gp
4,gp,1,1,15,80.0,10.0,90.0,9,60.0,0.0604642782594605,0.0687390622802999,0.2621813537998077,blambda_actual,blf_gp
4,gp,1,2,15,80.0,10.0,90.0,5,33.333333333333336,0.1161888510201758,0.167138094441047,0.4088252615006159,blambda_actual,blf_gp
4,gp,1,3,15,80.0,10.0,90.0,8,53.333333333333336,0.0443508688281818,0.0415036439900857,0.2037244315002149,blambda_actual,blf_gp
4,gp,2,1,25,80.0,10.0,90.0,9,36.0,0.3568034198024064,0.175926183625406,0.4194355536019878,blambda_actual,blf_gp
4,gp,2,2,25,80.0,10.0,90.0,1,4.0,0.6779947581406779,0.3378256813656031,0.5812277362321959,blambda_actual,blf_gp
4,gp,2,3,25,80.0,10.0,90.0,13,52.0,0.1172658259622498,0.0587676863448739,0.2424204742691384,blambda_actual,blf_gp
4,alt_fourier,1,1,15,80.0,10.0,90.0,13,86.66666666666667,0.0468786559871151,0.0562833025271124,0.2372410220158234,lambda_projected_optimum,blf_gp
4,alt_fourier,1,2,15,80.0,10.0,90.0,11,73.33333333333333,0.0744809534441272,0.0731223198361266,0.2704113899896353,lambda_projected_optimum,blf_gp
4,alt_fourier,1,3,15,80.0,10.0,90.0,8,53.333333333333336,0.0718197845161797,0.0952753840305599,0.3086671087604896,lambda_projected_optimum,blf_gp
4,alt_fourier,2,1,25,80.0,10.0,90.0,22,88.0,0.2594640738948557,0.1280549709589205,0.3578476924040737,lambda_projected_optimum,blf_gp
4,alt_fourier,2,2,25,80.0,10.0,90.0,11,44.0,0.5991915715762206,0.2937284423376771,0.5419671967358146,lambda_projected_optimum,blf_gp
4,alt_fourier,2,3,25,80.0,10.0,90.0,14,56.0,0.1085765662737829,0.0523579674335467,0.2288186343669299,lambda_projected_optimum,blf_gp
4,alt_fourier,1,1,15,80.0,10.0,90.0,12,80.0,0.0897608208035021,0.1110071920477131,0.3331774182739777,blambda_actual,blf_gp
4,alt_fourier,1,2,15,80.0,10.0,90.0,9,60.0,0.1082301649241213,0.141650291020991,0.3763645719525034,blambda_actual,blf_gp
4,alt_fourier,1,3,15,80.0,10.0,90.0,8,53.333333333333336,0.075729838589473,0.1026610760174475,0.3204076715958086,blambda_actual,blf_gp
4,alt_fourier,2,1,25,80.0,10.0,90.0,17,68.0,0.5049266501923053,0.2554507297675344,0.50542133885258,blambda_actual,blf_gp
4,alt_fourier,2,2,25,80.0,10.0,90.0,11,44.0,0.6842980144867937,0.3457481432828547,0.5880035231891513,blambda_actual,blf_gp
4,alt_fourier,2,3,25,80.0,10.0,90.0,11,44.0,0.1195528891456053,0.0586857086501114,0.2422513336394897,blambda_actual,blf_gp
4,alt_bspline,1,1,15,80.0,10.0,90.0,10,66.66666666666667,0.0268867315503575,0.0344135389587305,0.1855088649060484,lambda_projected_optimum,blf_gp
