seed,model_tag,mode,factor,n_coords,ci_level,lower_q,upper_q,within_count,coverage_pct,quad_error,mse,rmse,eval_version,method
52,alt_fourier,1,2,15,80.0,10.0,90.0,15,100.0,0.0141475278516657,0.0132221054586673,0.1149874143489943,blambda_actual,blf_gp
52,alt_fourier,1,3,15,80.0,10.0,90.0,14,93.33333333333331,0.0551987295900051,0.0549391732242642,0.2343910689942435,blambda_actual,blf_gp
52,alt_fourier,2,1,25,80.0,10.0,90.0,25,100.0,0.2050426316975256,0.1011422178193613,0.318028643080087,blambda_actual,blf_gp
52,alt_fourier,2,2,25,80.0,10.0,90.0,23,92.0,0.1359993537783592,0.0690421229218243,0.2627586781094477,blambda_actual,blf_gp
52,alt_fourier,2,3,25,80.0,10.0,90.0,23,92.0,0.2028461287312635,0.1012089300876055,0.3181335098470539,blambda_actual,blf_gp
52,alt_bspline,1,1,15,80.0,10.0,90.0,13,86.66666666666667,0.0952159378755672,0.0983817310233596,0.3136586217902508,lambda_projected_optimum,blf_gp
52,alt_bspline,1,2,15,80.0,10.0,90.0,15,100.0,0.0181678825595974,0.0190063839616329,0.1378636426387791,lambda_projected_optimum,blf_gp
52,alt_bspline,1,3,15,80.0,10.0,90.0,15,100.0,0.0260530300281114,0.0256827291232232,0.160258319981283,lambda_projected_optimum,blf_gp
52,alt_bspline,2,1,25,80.0,10.0,90.0,22,88.0,0.0897629843316248,0.0443071094795295,0.2104925401992421,lambda_projected_optimum,blf_gp
52,alt_bspline,2,2,25,80.0,10.0,90.0,25,100.0,0.060944959473643,0.0302632541270391,0.1739633700726653,lambda_projected_optimum,blf_gp
52,alt_bspline,2,3,25,80.0,10.0,90.0,23,92.0,0.1028116710902882,0.0494246170042922,0.2223164793808418,lambda_projected_optimum,blf_gp
52,alt_bspline,1,1,15,80.0,10.0,90.0,10,66.66666666666667,0.1531070744795056,0.1560181751495284,0.3949913608542957,blambda_actual,blf_gp
52,alt_bspline,1,2,15,80.0,10.0,90.0,15,100.0,0.0331226346494782,0.0313881907313665,0.1771671265539027,blambda_actual,blf_gp
52,alt_bspline,1,3,15,80.0,10.0,90.0,14,93.33333333333331,0.1095044666149553,0.1035882415449937,0.3218512723992151,blambda_actual,blf_gp
52,alt_bspline,2,1,25,80.0,10.0,90.0,22,88.0,0.1370205402703289,0.0720302529897992,0.2683845244975932,blambda_actual,blf_gp
52,alt_bspline,2,2,25,80.0,10.0,90.0,25,100.0,0.0602617894727976,0.029826215183217,0.1727026785641063,blambda_actual,blf_gp
52,alt_bspline,2,3,25,80.0,10.0,90.0,21,84.0,0.2177912535793242,0.1047085863282527,0.3235870614351766,blambda_actual,blf_gp
53,gp,1,1,15,80.0,10.0,90.0,5,33.333333333333336,0.3126891796884671,0.3185822167529905,0.5644308786317334,lambda_projected_optimum,blf_gp
53,gp,1,2,15,80.0,10.0,90.0,8,53.333333333333336,0.7159497363098707,0.6728527307298401,0.8202760088713067,lambda_projected_optimum,blf_gp
53,gp,1,3,15,80.0,10.0,90.0,8,53.333333333333336,0.2592863884169929,0.2605062228575215,0.5103981023255489,lambda_projected_optimum,blf_gp
53,gp,2,1,25,80.0,10.0,90.0,6,24.0,1.5348656302422363,0.7701210985386947,0.8775654383228038,lambda_projected_optimum,blf_gp
53,gp,2,2,25,80.0,10.0,90.0,17,68.0,1.028719604294594,0.5042470627085862,0.7101035577354801,lambda_projected_optimum,blf_gp
53,gp,2,3,25,80.0,10.0,90.0,9,36.0,1.0893237533047984,0.5879187192950568,0.7667585795379513,lambda_projected_optimum,blf_gp
